# 訂閱頻道的新片，由 watch_channels.py 自動維護，轉好會自動移除
UMVdKrV8AdU  # 理財達人秀 EBCmoneyshow｜【理財達人秀】聯電帶聯家軍 強將要補漲 璞玉300家 找低調賺錢股！｜李兆華、林
iNYt0hkCvyc  # 理財達人秀 EBCmoneyshow｜【理財達人秀】發哥破5000 迎ASIC大行情 搶！ 百元封測、重挫探針？｜李兆
AwQetpXNFYw  # 理財達人秀 EBCmoneyshow｜👑 股市獅公永年親授！台股衝歷史新高狂贏80% 這檔積情設備股裝死打底 單子塞爆
vnXhhUOY23s  # 理財達人秀 EBCmoneyshow｜👑 題材獵人漢偉警告！聯發科飆5000元創歷史高🔥這檔富爸爸親自護盤的小金雞慢熱
Eq7nJIM_kYI  # 理財達人秀 EBCmoneyshow｜👑 陳於晨爆料！Google自研晶片狂省百億 博通慘遭砍單🩸聯發科搶吃TPU超級
XtRPmHSoh2Y  # 理財達人秀 EBCmoneyshow｜【理財達人秀】漲點被沒收 台股節後會再攻！漢測上市狂 封測明年更爆？外銷訂單又創
SNebDOzkNAA  # 理財達人秀 EBCmoneyshow｜【兆華艾綸說】友達爆天量漲停 CPO黑馬台表科.瑞軒.穩懋？輝達搶電力 瓶頸變嚴
Iuf0POjBLws  # 兆華艾綸說｜【兆華艾綸說】友達爆天量漲停 CPO黑馬台表科.瑞軒.穩懋？輝達搶電力 瓶頸變嚴
Lq6Hk2qA7iw  # 理財達人秀 EBCmoneyshow｜【理財達人秀】漲點被沒收？ 節後會再攻！ 漢測上市狂 封測明年更爆？｜李兆華、蔡
Ugu2W1Db96o  # 理財達人秀 EBCmoneyshow｜【理財達人秀】外銷旺+軋空 10月更會漲 鎖！ Q4高勝率+金叉量增股｜李兆華、
puFbS_C219Y  # 理財達人秀 EBCmoneyshow｜【理財達人秀】英特爾、AMD噴 卡AI戰5萬 創高中小更飆 小資一檔包｜李兆華、
d5TzpnKKK2k  # 兆華艾綸說｜【兆華艾綸說】48K上影線 節後漲力強 友達爆天量 CPO潛力股｜李兆華、艾綸 
Eso5tcm7XAU  # 兆華艾綸說｜【兆華艾綸說】輝達帶頭搶 續打電力戰 瓶頸變嚴重 三類大爆發｜李兆華、艾綸、黎志
